0
Ação policial
Não identificado
Operação policial
Tentativa/Roubo
Homicidio/Tentativa
Disputa
Tiros a esmo
Ataque a civis
Tentativa/Roubo de cargas
Briga
Sequestro/Cárcere Privado
Arrastão
Tentativa/Roubo a banco
Disparo Acidental
Tortura
Suicídio
Outro
